# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyDtoD_aligned,1.696,10.792,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.952,10.859,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.878,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.691,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.897,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.68,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.732,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.664,10.904,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.792,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.694,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.919,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.597,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.856,10.908,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.908,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.803,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.696,10.9,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.795,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.888,11.031,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.777,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.76,10.631,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
_Z9matrixMulP6float2S0_S0_ll,194.4,204.306,0.667,4,8,16,16,16,0,4136,16,0,2048,0,1024,0,0,5504,0,36003,7569,8
_Z13c2c_radix2_spifiPvS_i11tfStride_st,17.216,27.048,0.667,1,64,64,1,1,1024,64,12,0,128,0,1024,0,0,368,0,2910,322,16
_Z21FAM_FFTShift_VerticalP6float2ll,22.272,32.42,1,8,4,16,16,16,0,28,6,2048,0,4096,0,0,0,32,0,406,0,8
_Z15FAM_DownConvertP6float2iii,32.672,42.89,0.667,8,4,16,16,16,0,32,13,2048,0,4096,0,0,0,480,32,1534,0,8
_Z9transposeP6float2S0_ii,8.064,18.108,1,5,9,16,16,16,0,2208,8,0,128,0,1024,0,0,240,0,1006,97,12
_Z18FAM_ComputeProdSeqP6float2S0_ll,3840.51,3850.2,1,1,128,128,1,1,0,544,8,524288,0,524288,0,0,0,8384,0,81725,20872,32
_Z13c2c_radix2_spifiPvS_i11tfStride_st,17.76,27,0.333,1,128,32,1,1,512,64,12,0,128,0,1024,0,0,320,0,2681,305,32
_Z21FAM_FFTShift_VerticalP6float2ll,1809.57,1819.61,1,4,1024,16,16,16,0,28,6,262144,0,524288,0,0,0,4096,0,50211,0,1024
_Z22FAM_ComputeSCDFunctionPfP6float2llll,713.248,1680.57,1,1024,2,16,16,16,0,40,10,0,8192,262140,0,0,0,16384,0,134433,0,512
memcpyDtoD_aligned,3.392,13.485,1,1,32,128,1,1,0,28,3,0,64,0,256,0,0,16,0,149,0,8
memcpyDtoD_aligned,3.328,12.165,1,1,32,128,1,1,0,28,3,0,64,0,256,0,0,16,0,150,0,8
memcpyDtoD_aligned,2.752,11.431,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,11.375,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.945,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.664,10.751,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.837,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.837,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.619,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.586,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.81,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,11.412,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.866,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.893,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.696,10.612,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.997,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.664,10.904,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.728,10.616,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.856,10.844,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.762,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.672,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
