# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyDtoD_aligned,2.688,276.947,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.952,11.143,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.888,11.095,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.724,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,11.461,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.824,10.941,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.739,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.672,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,4,0,46,0,2
memcpyDtoD_aligned,1.728,10.691,1,1,2,128,1,1,0,28,3,,,0,16,0,64,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.638,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.721,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.553,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.696,10.893,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.889,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.911,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.68,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.773,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.661,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.96,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.87,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.792,10.814,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,0
_Z9matrixMulP6float2S0_S0_ll,192.096,202.557,0.667,4,8,16,16,16,0,4136,16,,,0,2048,0,1024,0,0,5504,0,35968,7579,8
_Z13c2c_radix2_spifiPvS_i11tfStride_st,17.312,27.052,0.667,1,64,64,1,1,1024,64,12,,,0,128,0,1024,0,0,368,0,2927,331,16
_Z21FAM_FFTShift_VerticalP6float2ll,19.072,29.136,1,8,4,16,16,16,0,28,6,,,2048,0,4096,0,0,0,32,0,397,0,8
_Z15FAM_DownConvertP6float2iii,35.84,45.901,0.667,8,4,16,16,16,0,32,13,,,2048,0,4096,0,0,0,480,32,1630,0,8
_Z9transposeP6float2S0_ii,8.256,18.06,1,4,8,16,16,16,0,2208,8,,,0,128,0,1024,0,0,160,0,859,103,8
_Z22FAM_ComputeProdSeqDiagP6float2S0_ll,47.52,57.872,1,4,128,16,16,16,0,32,6,,,2048,0,4096,0,0,0,512,0,3688,0,128
_Z18FAM_ComputeProdSeqP6float2S0_ll,4296.35,4306.54,0.667,1,31,256,1,1,0,32,12,,,524288,0,524288,0,0,0,5682,12,52538,0,7
_Z13c2c_radix2_spifiPvS_i11tfStride_st,16.256,25.657,0.333,1,128,32,1,1,512,64,12,,,0,128,0,1024,0,0,320,0,2675,329,32
_Z21FAM_FFTShift_VerticalP6float2ll,1783.04,1793.07,1,4,1024,16,16,16,0,28,6,,,262144,0,524288,0,0,0,4096,0,50632,0,1024
_Z22FAM_ComputeSCDFunctionPfP6float2llll,707.84,718.491,1,1024,2,16,16,16,0,40,10,,,0,8192,262140,0,0,0,16384,0,136189,0,512
