# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyDtoD_aligned,1.696,10.691,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.728,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.915,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.762,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.698,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.824,10.811,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.755,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.635,1,1,2,128,1,1,0,28,3,,,0,16,0,64,0,0,4,0,46,0,2
memcpyDtoD_aligned,1.696,10.605,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.881,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.696,10.855,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.664,10.785,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.696,10.706,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.889,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.696,10.822,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.672,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.76,10.642,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.784,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.888,10.807,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.796,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.728,10.755,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
_Z9matrixMulP6float2S0_S0_ll,192.16,202.755,0.667,4,8,16,16,16,0,4136,16,,,0,2048,0,1024,0,0,5504,0,35966,7608,8
_Z13c2c_radix2_spifiPvS_i11tfStride_st,17.248,26.955,0.667,1,64,64,1,1,1024,64,12,,,0,128,0,1024,0,0,368,0,3002,329,16
_Z21FAM_FFTShift_VerticalP6float2ll,18.464,28.463,1,8,4,16,16,16,0,28,6,,,2048,0,4096,0,0,0,32,0,397,0,8
_Z15FAM_DownConvertP6float2iii,33.184,43.175,0.667,8,4,16,16,16,0,32,13,,,2048,0,4096,0,0,0,480,32,1632,0,8
_Z9transposeP6float2S0_ii,8.128,21.389,1,4,8,16,16,16,0,2208,8,,,0,128,0,1024,0,0,160,0,860,113,8
_Z22FAM_ComputeProdSeqDiagP6float2S0_ll,54.432,64.493,0.333,1,8,16,1,1,0,32,6,,,2048,0,4096,0,0,0,66,0,670,0,2
_Z18FAM_ComputeProdSeqP6float2S0_ll,5687.14,5697.29,0.667,1,128,64,1,1,0,32,12,,,507904,0,507904,0,0,0,5754,17,54936,0,32
_Z13c2c_radix2_spifiPvS_i11tfStride_st,16.352,25.631,0.333,1,128,32,1,1,512,64,12,,,0,128,0,1024,0,0,320,0,2699,320,32
_Z21FAM_FFTShift_VerticalP6float2ll,1772.35,1782.36,1,4,1024,16,16,16,0,28,6,,,262144,0,524288,0,0,0,4096,0,50382,0,1024
_Z22FAM_ComputeSCDFunctionPfP6float2llll,709.6,719.946,1,1024,2,16,16,16,0,40,10,,,0,8192,262144,0,0,0,16384,0,134767,0,512
