# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,memTransferSize,memTransferDir,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
_Z21GenerateWindowHammingP6float2j,2.24,15.599,0.667,1,2,64,1,1,0,24,7,,,0,0,0,32,0,0,4,0,56,0,1
_Z14FAM_MakeWindowP6float2PKS_i,2.08,11.903,0.333,1,8,16,1,1,0,28,4,,,0,2,64,0,0,0,1,0,18,0,2
memcpyDtoD_aligned,3.36,12.393,1,1,32,128,1,1,0,28,3,,,0,64,0,256,0,0,16,0,149,0,8
memcpyDtoD_aligned,2.688,11.585,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.792,10.904,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.855,1,1,2,128,1,1,0,28,3,,,0,16,0,64,0,0,4,0,46,0,2
memcpyDtoD_aligned,1.696,10.646,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.799,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,11.663,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.87,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,4,0,46,0,1
memcpyDtoD_aligned,1.664,10.785,1,1,2,128,1,1,0,28,3,,,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.96,1,1,2,128,1,1,0,28,3,,,0,8,0,32,0,0,0,0,0,0,1
